,,,,,,,,50%,60%,70%,80%,90%,100%
8949391,Leigh,Leigh,Sorry that was a typo (fixed now). Re: *IndexOutOfBoundsException* I posted that before you mentioned numOfUpdates is zero. The snippet needs validation or it will fail if there are no updates (like accessing an array position that does not exist). I do not know the api well enough to know why you are not getting any results though. Can you get any updates at all?,"['IndexOutOfBounds', 'numOfUpdates']",,,,,,,,,
8949391,Leigh,user1161447,"Apparently not.. but I can post updates with no problem using LinkedInApiClient.postNetworkUpdate(""test 2"")","['LinkedInApiClient.postNetworkUpdate(""test 2"")', 'LinkedInApiClient', 'postNetworkUpdate', 'postNetworkUpdate(""test 2"")']",,,,,,,,,
8949391,Leigh,Leigh,"Unfortunately, I have reached the end of my limited knowledge on this :/ I think the list snippet will work, but only if you can get some updates. Rather than my guessing, you might want to ask the folks on linkedinj mailing list.",,,,,,,,,,
8949391,Leigh,user1161447,"Leigh.. I'm gonna go ahead and say that this does work. As I tried using my other LinkedIn account and it does retrieve the last update key. Yes! Now if I can just figure out why one account works and the other does not work... both of them have a ""last update"" so I'm not sure what the deal is. Thanks so much for your help.",['LinkedIn'],,,,,,,,,
8949391,Leigh,Leigh,"Glad I could provide a starting point. If you do figure out the issue, feel free to add an update to the original question for others that run into the same problem.",,,,,,,,,,
8949391,Leigh,user1161447,It appears I need to use the getUserUpdates() rather than getNetworkUpdates() but I've decided not to use LinkedIn J and replaced it with another API that I find more friendly to use called Scribe to handle the OAuth and then generate URL's from apigee.com to pass through scribe. Simpler approach for me..,"[""'ve decided not to use LinkedIn J and replaced it with another API that I find more friendly to use called Scribe to handle the OAuth and then generate URL'"", 'LinkedIn', 'getUserUpdates', 'getNetworkUpdates', 'getUserUpdates() rather than getNetworkUpdates()']",,,,,,,,,
8949391,Leigh,Leigh,Thanks for the follow-up and tip about Scribe.,,,,,,,,,,
9749510,Matt Esch,Fredrik LS,"I guess you mean Integer.parseInt(""45E213"");. You would need to strip 0x from the String","['parseInt', '45E213', 'parseInt(""45E213"")', 'Integer.parseInt(""45E213"")']",2,1,2,"[(2, ['parseInt(""45E213"")', 'Integer.parseInt(""45E213"")', '45E213', 'parseInt'])]","[(2, ['parseInt', '45E213', 'parseInt(""45E213"")', 'Integer.parseInt(""45E213"")'])]","[(2, ['parseInt(""45E213"")', 'Integer.parseInt(""45E213"")', '45E213', 'parseInt'])]","[(2, ['parseInt(""45E213"")', '45E213', 'parseInt'])]","[(2, ['parseInt', '45E213'])]","[(2, ['parseInt', '45E213'])]"
9749510,Matt Esch,Matt Esch,"Yes true, I just tested it.",,,,,,,,,,
9749510,Matt Esch,Dion Segijn,"Thanks for the ParseInt idea, and the fast reply, it worked. only my background isn't changing color, but that would be an other fix.",['ParseInt'],,,,,,,,,
9749510,Matt Esch,iwishiwasacodemonkey,You have and extra closing parenthesis in both Integer.parseInt functions.,['parseInt'],3,1,3,,,,,,
9890599,Hooked,Llamageddon,Is it possible to change the dimensions of the resulting image?,,,,,,,,,,
9890599,Hooked,Hooked,"@Asmageddon In `plt.savefig` you can change the dpi, see the link in the answer. The dimensions can be controlled when creating the figure, see `figsize` in http://matplotlib.org/api/figure_api.html#matplotlib.figure.Figure","['plt.savefig', 'figsize']",,,,"[(4, ['plt.savefig'])]","[(5, ['plt.savefig'])]",,,,
9890599,Hooked,MoTSCHIGGE,@Hooked plt.savefig saves the figure but is does not prevent displaying it. Even when I leave out plt.show() the figure is displayed. How can I prevent that?,"['plt.show()', 'show()']",,,,,,,,,
9890599,Hooked,rubenvb,@MoTSCHIGGE you can call `plt.ioff()` which should disable interactiveness in `matplotlib.pyplot` commands.,"['matplotlib.pyplot', 'plt.ioff()', 'ioff()']",,,,,,,,,
9890599,Hooked,S T Mohammed,how can we specify the path for saving plot,,,,,,,,,,
9890599,Hooked,Hooked,"@STMohammed `foo.png` _is_ the path. You could, for example, put it in a directory like this `savefig(""mydir/foo.png"")`.","['savefig(""mydir/foo.png"")', 'foo.png']",,,,"[(4, ['foo.png', 'savefig(""mydir/foo.png"")'])]","[(4, ['savefig(""mydir/foo.png"")'])]","[(4, ['savefig(""mydir/foo.png"")'])]",,,
10209691,sp00m,Mathias Schwarz,`getAbsolutePath` is not required to remove `..` and `.`. The only guarantee is the that the path returned is not relative.,"['..', '.', 'getAbsolutePath']",2,1,2,"[(2, ['getAbsolutePath'])]","[(2, ['getAbsolutePath'])]","[(2, ['getAbsolutePath'])]","[(2, ['getAbsolutePath'])]","[(2, ['getAbsolutePath'])]","[(2, ['getAbsolutePath'])]"
10209691,sp00m,sp00m,"Yeah, I just understood it, I edited before you posted :)",,,,,,,,,,
10276157,Adriano Repetti,ori,"Right. But for easier maintenance I would add click event handlers to all `td a`s that might be disabled, which will call `event.preventDefault()` if `$(this).data('disabled')` is true, and then set `data('disabled', true)` to any link I want to disable (false to enable, etc.)","[""preventDefault()` if `$(this).data('disabled')` is true, and then set `data('disabled', true)` to any link I want to disable (false to enable, etc.)"", ""data('disabled', true)"", 'preventDefault', ""'disabled'"", ""event.preventDefault()` if `$(this).data('disabled')` is true, and then set `data('disabled', true)` to any link I want to disable (false to enable, etc.)"", ""$(this).data('disabled')"", 'td a', 'event.preventDefault()']",,,,"[(2, [""$(this).data('disabled')"", 'event.preventDefault()', ""'disabled'"", 'preventDefault', ""data('disabled', true)""])]","[(2, [""data('disabled', true)"", 'preventDefault', ""'disabled'"", ""$(this).data('disabled')"", 'event.preventDefault()'])]","[(2, ['preventDefault', 'event.preventDefault()', ""$(this).data('disabled')"", ""'disabled'""])]","[(2, ['preventDefault', 'event.preventDefault()', ""$(this).data('disabled')"", ""'disabled'""])]","[(2, [""'disabled'"", ""$(this).data('disabled')"", 'preventDefault'])]","[(2, [""'disabled'"", 'preventDefault'])]"
10276157,Adriano Repetti,Adriano Repetti,"@ori Yes, good solution!",,,,,,,,,,
10276157,Adriano Repetti,Ankit,I have to show the link as disabled also. Its not just that the click should not work. It should show it disabled. Anchor tag is displayed disabled on IE but not on firefox.,,,,,,,,,,
10276157,Adriano Repetti,Adriano Repetti,@Ankit For appearance you have CSS! Set-up a rule for 'disabled' links like this a[disabled] { color: gray },"[""'disabled'""]",,,,,,,,,
10276157,Adriano Repetti,aug,"Quick update on [browser-support](http://caniuse.com/#feat=pointer-events). Note even though IE11 supports pointer-events, there is a small tidbit that says it doesn't work on links :(...",,,,,,,,,,
10276157,Adriano Repetti,Dave Stewart,`$(this).is('[disabled]')` might be a nicer way to detect the disabled attribute,"[""is('[disabled]')"", ""$(this).is('[disabled]')""]",,,,"[(11, [""is('[disabled]')"", ""$(this).is('[disabled]')""])]","[(11, [""is('[disabled]')"", ""$(this).is('[disabled]')""])]","[(11, [""is('[disabled]')"", ""$(this).is('[disabled]')""])]","[(11, [""is('[disabled]')"", ""$(this).is('[disabled]')""])]",,
10276157,Adriano Repetti,Adriano Repetti,"@DaveStewart pretty right, thanks!",,,,,,,,,,
10276157,Adriano Repetti,Dave Stewart,"Thanks to you too @adriano-repetti, this helped me out this week in building a pretty awesome filtering system :)",,,,,,,,,,
10276157,Adriano Repetti,ToolmakerSteve,"IMHO, now that four years have passed, if one doesn't care about older IE browsers, @Ankit's solution is preferable (put the CSS on an element that IE 11 supports pointer-events for, instead of putting it directly on `a` )",['a'],,,,,,,,,
10276157,Adriano Repetti,Adriano Repetti,@ToolmakerSteve IE11 still does NOT support pointer-events for links then you still need some workaround. Moreover pointer-events doesn't _disable_ keyboard events (then link is still navigable) then you also need some JavaScript.,['JavaScript'],,,,,,,,,
10276157,Adriano Repetti,Jon Crawford,You can disable in a portable way! same way lightbox does it!!!! See my answer below! And is is fully cross-browser!!,,,,,,,,,,
10276157,Adriano Repetti,Adriano Repetti,"Jon, I don't like it much. First of all because keyboard navigation still works. Second because it's a trick (them it may be useful only if nothing else works). Third because some people keep Javascript disabled and in this case you don't have any ""level"" of protection. Fourth because it's the most complicate solution here (when few Javascript lines may work)",,,,,,,,,,
10276157,Adriano Repetti,kross,I agree with @AdrianoRepetti. My answer below is essentially a codified version of what Adriano has presented. Adriano's methodology is considers all avenues and works well.,,,,,,,,,,
10276157,Adriano Repetti,Adriano Repetti,"@kross BTW I love your new implementation with ES6 class, concise and complete. I'm waiting for a wide ES6 support, too many exciting features.",,,,,,,,,,
10276157,Adriano Repetti,Zoltán Tamási,"In some cases the `click` event is already bound to some ""real"" function (for example using `knockoutjs`) In that case the event handler ordering can cause some troubles. Hence I implemented disabled links by binding a `return false` handler to the link's `touchstart`, `mousedown` and `keydown` events. I has some drawbacks (like it will prevent touch scrolling stared on the link), but it's acceptable for me.","['mousedown', 'touchstart', 'knockoutjs', 'return false', 'click', 'keydown']",19,1,19,,,,,,
10276157,Adriano Repetti,Adriano Repetti,"@zolt nice catch, if you do not mind I will integrate this in the answer linking back to your comment.",,,,,,,,,,
10276157,Adriano Repetti,Zoltán Tamási,"@AdrianoRepetti Of course, feel free.",,,,,,,,,,
10276157,Adriano Repetti,dheeraj Kumar,thanks for help me @AdrianoRepetti,,,,,,,,,,
10276157,Adriano Repetti,vee,add `pointer-events: none,"['cursor: not-allowed', 'pointer-events: none;']",,,,,,,,,
10971756,Luke Madera,Sasha Chedygov,"In Angular 1.2, `ng-bind-html-unsafe` was removed and the two directives were combined. See: https://github.com/angular/angular.js/blob/master/CHANGELOG.md#120-rc1-spooky-giraffe-2013-08-13",['ng-bind-html-unsafe'],3,1,3,,,,,,
10971756,Luke Madera,Matsemann,"Without using ngSanitize, it can be done now by using `$sce`. Inject it into the controller and pass the html through it. `$scope.thisCanBeusedInsideNgBindHtml = $sce.trustAsHtml(someHtmlVar);` Otherwise I kept getting `attempting to use an unsafe value in a safe context`","['ngSanitize', '$scope.thisCanBeusedInsideNgBindHtml = $sce.trustAsHtml(someHtmlVar);', '$sce', '$sce.trustAsHtml(someHtmlVar);', '$sce.trustAsHtml(someHtmlVar)', 'thisCanBeusedInsideNgBindHtml =', 'attempting to use an unsafe value in a safe context', 'someHtmlVar', 'trustAsHtml(someHtmlVar)', 'thisCanBeusedInsideNgBindHtml', 'trustAsHtml', '$scope.thisCanBeusedInsideNgBindHtml']",4,1,4,"[(4, ['$scope.thisCanBeusedInsideNgBindHtml', 'thisCanBeusedInsideNgBindHtml', 'someHtmlVar', '$sce.trustAsHtml(someHtmlVar)', '$scope.thisCanBeusedInsideNgBindHtml = $sce.trustAsHtml(someHtmlVar);', 'trustAsHtml', 'thisCanBeusedInsideNgBindHtml =', '$sce.trustAsHtml(someHtmlVar);', 'trustAsHtml(someHtmlVar)'])]","[(4, ['$scope.thisCanBeusedInsideNgBindHtml = $sce.trustAsHtml(someHtmlVar);', '$sce.trustAsHtml(someHtmlVar);', '$sce.trustAsHtml(someHtmlVar)', 'thisCanBeusedInsideNgBindHtml =', 'someHtmlVar', 'trustAsHtml(someHtmlVar)', 'thisCanBeusedInsideNgBindHtml', 'trustAsHtml', '$scope.thisCanBeusedInsideNgBindHtml'])]","[(4, ['$sce.trustAsHtml(someHtmlVar)', 'thisCanBeusedInsideNgBindHtml', '$sce.trustAsHtml(someHtmlVar);', 'someHtmlVar', 'trustAsHtml', '$scope.thisCanBeusedInsideNgBindHtml', 'thisCanBeusedInsideNgBindHtml =', 'trustAsHtml(someHtmlVar)'])]","[(4, ['trustAsHtml', '$scope.thisCanBeusedInsideNgBindHtml', 'someHtmlVar', '$sce.trustAsHtml(someHtmlVar)', '$sce.trustAsHtml(someHtmlVar);', 'thisCanBeusedInsideNgBindHtml =', 'thisCanBeusedInsideNgBindHtml', 'trustAsHtml(someHtmlVar)'])]","[(4, ['$sce.trustAsHtml(someHtmlVar);', 'thisCanBeusedInsideNgBindHtml =', 'someHtmlVar', 'trustAsHtml', '$sce.trustAsHtml(someHtmlVar)', '$scope.thisCanBeusedInsideNgBindHtml', 'thisCanBeusedInsideNgBindHtml'])]","[(4, ['thisCanBeusedInsideNgBindHtml', 'someHtmlVar', 'thisCanBeusedInsideNgBindHtml =', '$sce.trustAsHtml(someHtmlVar);', '$scope.thisCanBeusedInsideNgBindHtml', 'trustAsHtml'])]"
10971756,Luke Madera,landed,We need a bit of a cleanup here which is the right way nothing seems to be working for me.,,,,,,,,,,
10971756,Luke Madera,anpatel,http://stackoverflow.com/questions/21829275/angular-js-shows-html-within-the-tag <-- worked for me :) none of the options in the answers here worked unfortunately,,,,,,,,,,
10971756,Luke Madera,Eugene,What if html needs to be inserted into html tag attribute?,,,,,,,,,,
10971756,Luke Madera,Ben Cull,"Just so people aren't disheartened, the latest update of this answer, coupled with the ngSanitize requirement at the bottom of the answer, does in fact work.",['ngSanitize'],,,,,,,,,
10971756,Luke Madera,GôTô,Seriously? We need another lib for this to work??,,,,,,,,,,
10971756,Luke Madera,Cherven,1) ng-bind-html and then 2) sce.trustAsHtml() .... Is there a way to do it in one step?,"['sce.trustAsHtml()', 'trustAsHtml()', 'trustAsHtml']",,,,,,,,,
10971756,Luke Madera,VSO,"Thank you very much. This post saved me a lot of time. Just a note to not forget to include the dependencies, as shown here: https://docs.angularjs.org/api/ngSanitize/service/$sanitize",,,,,,,,,,
10971756,Luke Madera,Dezmen Ceo Sykes,Soi what are the required steps to acheiveing the goal?,,,,,,,,,,
10971756,Luke Madera,Eolis,"used the $sce method and it worked great for me. don't forget to add ng-bind-html=""thisCanBeusedInsideNgBindHtml"" to your element to generate your content.","['$sce', 'thisCanBeusedInsideNgBindHtml', 'html=""thisCanBeusedInsideNgBindHtml"" to your element to generate your content']",,,,,,,,,
10971756,Luke Madera,mpgn,"Hello XSS :) be sure the content is trusted, not user input for example",,,,,,,,,,
10971756,Luke Madera,Muhammad Umer,but it does override all existing html so not as useful as filter,,,,,,,,,,
10971756,Luke Madera,Parshuram Kalvikatte,my $scope is not working inside html {{test}} any solution??,"['{{test}}', '$scope']",,,,,,,,,
10971756,Luke Madera,Juan,"this works: <div [innerHtml]=""someVariableInTheScope""></div>","['innerHtml', 'someVariableInTheScope', '</div>']",,,,,,,,,
10971756,Luke Madera,Rennish Joseph,ngSanitize option worked perfectly for me with Angularjs 1.6 version,['ngSanitize'],,,,,,,,,
10971756,Luke Madera,Surya R Praveen,Working Answer - https://stackoverflow.com/questions/21829275/angular-js-shows-html-within-the-tag,,,,,,,,,,
12110466,Jamie Treworgy,James Kirkby,im having trouble implementing your method i supplied my working copy above,,3,0,,,,,,,
12110466,Jamie Treworgy,Jamie Treworgy,"`#mapimage` is an id selector. In your HTML, that is on the div, not the image. I changed it to the image in the example. You need to target the image.",['#mapimage'],,,,,,,,,
12110466,Jamie Treworgy,James Kirkby,"in the second example the #mapimage is on the image not the div, i took your code and put it together

 <script>
 $('#mapimage').mapster(
 { 
 fillColor: 'ff0000'
 });​
 </script>
 <div>
 <img id=""mapimage""","['id=""mapimage""', ""'ff0000'"", 'fillColor', '<script>', ""$('#mapimage').mapster("", ""$('#mapimage')"", '</script>', '<div>']",3,1,3,"[(3, ['fillColor', ""$('#mapimage').mapster("", ""'ff0000'"", 'id=""mapimage""', ""$('#mapimage')""])]","[(3, [""'ff0000'"", 'fillColor', ""$('#mapimage').mapster("", ""$('#mapimage')""])]","[(3, [""$('#mapimage').mapster("", ""'ff0000'"", ""$('#mapimage')"", 'fillColor'])]","[(3, [""$('#mapimage').mapster("", ""'ff0000'"", ""$('#mapimage')"", 'fillColor'])]","[(3, [""$('#mapimage')"", ""$('#mapimage').mapster("", 'fillColor', ""'ff0000'""])]","[(3, [""'ff0000'"", 'fillColor', ""$('#mapimage').mapster("", ""$('#mapimage')""])]"
12110466,Jamie Treworgy,Jamie Treworgy,Are you referencing the imagemapster script? Are you getting any errors?,,,,,,,,,,
12110466,Jamie Treworgy,James Kirkby,"yes referrencing imagemaster script and its in he rgiht directorys ect

here is the head of the doc

<html>
<head>
<style type=""text/css"">

#map a {
 cursor: hand;
}

</style>
<script type=""text/javascript"" src=""http://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js""></script>
<script type=""text/javascript"" src=""mapster/dist/jquery.imagemapster.js""></script>
<script>
$('#mapimage').mapster({
 fillColor: 'ff0000'
});​
</script>

error in browser console shows

Uncaught SyntaxError: Unexpected token ILLEGAL > line 15","['SyntaxError', '<head>', '<html>', 'type=""text/javascript"" src', ""'ff0000'"", 'fillColor', ""$('#mapimage').mapster("", 'type=""text/css""', ""$('#mapimage')"", '</script>', '</style>', '<script>']",,,,"[(3, ['fillColor', ""$('#mapimage').mapster("", ""'ff0000'"", ""$('#mapimage')""])]","[(3, [""'ff0000'"", 'fillColor', ""$('#mapimage').mapster("", ""$('#mapimage')""])]","[(3, [""$('#mapimage').mapster("", ""'ff0000'"", ""$('#mapimage')"", 'fillColor'])]","[(3, [""$('#mapimage').mapster("", ""$('#mapimage')"", ""'ff0000'"", 'fillColor'])]","[(3, [""'ff0000'"", ""$('#mapimage')"", 'fillColor', ""$('#mapimage').mapster(""])]","[(3, [""'ff0000'"", 'fillColor', ""$('#mapimage').mapster("", ""$('#mapimage')""])]"
12110466,Jamie Treworgy,Jamie Treworgy,So what is on line 15?,,,,,,,,,,
12110466,Jamie Treworgy,James Kirkby,"Just the closing syntax of the selector view it on pastebin
http://pastebin.com/kj59uTYw

If you were kind enough to put a working demo on pastebin id be forever gratefull",,,,,,,,,,
12110466,Jamie Treworgy,Jamie Treworgy,jsfiddle is a lot more useful than pastebin since you can actually run the code. It's impossible to say what isn't working from a cut and paste. Here's another fiddle with the code inline in script tags: http://jsfiddle.net/xQGBw/ The only thing I can think is some hidden unicode character? That error is a basic parsing error.,"[""'s impossible to say what isn'""]",,,,,,,,,
12110466,Jamie Treworgy,Jamie Treworgy,".. by the way DO NOT link to a script on github (like I did in that last fiddle) for any production use, it will only work in chrome & firefox.",,,,,,,,,,
12110466,Jamie Treworgy,James Kirkby,"thanks for the support i decided to go with the first idea, as your implementation only colours the sections between the coords, we didnt trace the timage exactly so you could see the overlap between the colour fill and the image. but your inline example helped me to structure the implementation thanks !!",,,,,,,,,,
12110466,Jamie Treworgy,Jamie Treworgy,Glad it worked out for you!,,,,,,,,,,
12609830,MrLore,yams,Ok this works but I need to return the definition from the sentence in it's original form not the lower case form.,,7,0,,,,,,,
12609830,MrLore,MrLore,"The definition returned is always exactly as it appears in the text. If it's showing lower case, then that's because you used a sentence where the definition is in lower case. My example was mixed case to indicate this.",,,,,,,,,,
12609830,MrLore,MrLore,If you're wanting to change the case of the definition you could always replace `phrase.append(words[i]),"['phrase.append(words[i].toUpperCase().charAt(0)); if(words[i].length() > 1) phrase.append(words[i].substring(1));', 'toUpperCase', 'phrase.append(words[i]);', 'append(words[i]);` with `phrase.append(words[i].toUpperCase().charAt(0)); if(words[i].length() > 1) phrase.append(words[i].substring(1))', 'charAt', 'phrase.append(words[i]);` with `phrase.append(words[i].toUpperCase().charAt(0)); if(words[i].length() > 1) phrase.append(words[i].substring(1))']",,,,,,,,,
12609830,MrLore,yams,I am getting a array out of bounds on initialism.append(word.toUpperCase().charAt(0)),"['toUpperCase', 'charAt', 'initialism.append(word.toUpperCase().charAt(0))', 'append(word.toUpperCase().charAt(0))']",7,1,7,"[(7, ['charAt', 'append(word.toUpperCase().charAt(0))', 'initialism.append(word.toUpperCase().charAt(0))', 'toUpperCase'])]","[(7, ['toUpperCase', 'charAt', 'initialism.append(word.toUpperCase().charAt(0))', 'append(word.toUpperCase().charAt(0))'])]","[(7, ['append(word.toUpperCase().charAt(0))', 'charAt', 'toUpperCase', 'initialism.append(word.toUpperCase().charAt(0))'])]","[(7, ['initialism.append(word.toUpperCase().charAt(0))', 'append(word.toUpperCase().charAt(0))', 'charAt', 'toUpperCase'])]","[(7, ['charAt', 'toUpperCase', 'append(word.toUpperCase().charAt(0))'])]","[(7, ['charAt', 'toUpperCase'])]"
12609830,MrLore,MrLore,"In fact that exception would be StringIndexOutOfBoundsException, I can't work out anything that gives ArrayIndexOutOfBoundsException.","['StringIndexOutOfBoundsException', 'ArrayIndexOutOfBoundsException']",,,,,,,,,
12609830,MrLore,yams,Sorry typo on my part it was a StringIndexOutOfBoundsException,['StringIndexOutOfBoundsException'],,,,,,,,,
12609830,MrLore,MrLore,"Then yeah, just remove double spaces from your sentences when you call the method: `getDefinition(""fbf"", ""foo bar baz"".replace("" "", "" "")));` or add `sentence = sentence.replace("" "", "" "");` to the getDefinition method. Edit: SO is removing double spaces from my input, so don't just copy and paste. And proves you should be doing it anyway ;)","['sentence = sentence', 'getDefinition', 'getDefinition(""fbf"", ""foo bar baz"".replace("" "", "" "")));` or add `sentence = sentence.replace("" "", "" "");` to the getDefinition method. Edit: SO is removing double spaces from my input, so don\'t just copy and paste. And proves you should be doing it anyway ;)', 'sentence = sentence.replace("" "", "" "");', 'getDefinition(""fbf"", ""foo bar baz"".replace("" "", "" "")));']",,,,,,,,,
12609830,MrLore,yams,Ok MrLore...last statement was kinda confusing. So where do I do the replace at,['MrLore'],,,,,,,,,
12609830,MrLore,MrLore,I've edited in all the changes you mentioned.,,,,,,,,,,
12903280,colabug,brk3,Can you prove the above actually calls the fragment's lifecycle functions such as onCreateView? After this my fragment is not null but members in my fragment that require onCreateView are still are.,['onCreateView'],,,,"[(3, ['onCreateView'])]",,,,,
12903280,colabug,colabug,I'd use the debugger to verify that lifecycle methods were called. Perhaps there is another issue with the fragment. Check out this example for testing view elements in fragments: https://github.com/colabug/Animation/blob/master/src/test/java/com/colabug/NewFragmentTest.java (main project: https://github.com/colabug/Animation/),,,,,,,,,,
12903280,colabug,brk3,"Thanks for the example, played around with your project and confirmed onCreateView is indeed being called so it must be something else wrong with my code as you say.",['onCreateView'],,,,"[(3, ['onCreateView'])]",,,,,
12903280,colabug,android.weasel,"Given that startFragment(...) above is static and refers to no fields, it would seem to be more something you shove in a TestUtils class than a TestRunner..?","['startFragment(...)', 'TestUtils', 'startFragment', 'TestRunner']",,,,"[(2, ['startFragment(...)', 'startFragment'])]","[(2, ['startFragment(...)', 'startFragment'])]","[(2, ['startFragment', 'startFragment(...)'])]","[(2, ['startFragment', 'startFragment(...)'])]","[(2, ['startFragment'])]","[(2, ['startFragment'])]"
12903280,colabug,colabug,"@android.weasel Not opposed to a separate utils class, but it seemed like overkill for this answer.",,,,,,,,,,
12903280,colabug,colabug,"@android.weasel Also, typically you'd add more functions to the test runner. Check this out for more information: http://blog.chariotsolutions.com/2012/08/android-unit-testing-with-robolectric.html",,,,,,,,,,
12903280,colabug,android.weasel,"@colabug This example's MyTestRunner class is more the overkill - it has no functionality and degrades to a plain FragmentTestUtils class, leaving the test to RobolectricTestRunner. While a real-world MyTestRunner would bind in some new shadows, cluttering it with vaguely related statics risks semantic confusion: A test under one TestRunner might need to invoke a different TestRunner's static methods - not a problem if the statics are in TestUtility classes. It's not as if new classes are expensive, or that over-stuffing MyTestRunner saves anything in terms of (inexpensive) import statements.","['RobolectricTest', 'FragmentTest', 'MyTest', 'TestRunner', 'TestUtility']",,,,"[(2, ['FragmentTest', 'RobolectricTest', 'TestUtility'])]","[(2, ['FragmentTest'])]","[(2, ['FragmentTest'])]","[(3, ['FragmentTest'])]","[(3, ['FragmentTest'])]","[(3, ['FragmentTest'])]"
12903280,colabug,android.weasel,"@colabug By the way, useful article (aside from our difference about where to keep statics).",,,,,,,,,,
12903280,colabug,colabug,@android.weasel You're arguing a petty detail. It solved the question and works. Glad you enjoyed my article about testing.,,,,,,,,,,
12903280,colabug,Eugen Martynov,This approach doesn't work with Robolectric 2.x :) Did you migrate already?,,2,0,,,,,,,
12903280,colabug,colabug,@EugenMartynov I haven't migrated. Do you have a solution you can share for the new way of doing things?,,,,,,,,,,
12903280,colabug,Eugen Martynov,@colabug don't have it yet. We didn't migrate also :),,,,,,,,,,
12903280,colabug,colabug,@EugenMartynov - Figured it out yesterday and updated the answer.,,,,,,,,,,
12903280,colabug,Eugen Martynov,"@colabug, nice! Thank you for sharing, but for me it still doesn't work: android.view.InflateException: XML file jar:/Users/eugen/.m2/repository/org/robolectric/android-res/4.1.2_r1_rc/android-res-4.1.2_r1_rc-real.jar!/res/layout/preference_list_fragment.xml line #-1 (sorry, not yet implemented): Error inflating class <unknown> Time to contribute a little :)","['InflateException', 'view.I', '<unknown>']",,,,,,,,,
12903280,colabug,colabug,@EugenMartynov I just finished debugging the same error message when I was passing a bundle to the Fragment. Make sure to try it with a vanilla/new/empty fragment to make sure it's not something weird with your fragment.,,,,,,,,,,
12903280,colabug,Somatik,startFragment seems to be available for robolectric 2.x in org.robolectric.util.FragmentTestUtil,"['FragmentTest', 'startFragment', 'util.F']",3,1,3,"[(3, ['util.F', 'startFragment', 'FragmentTest'])]","[(3, ['FragmentTest', 'startFragment', 'util.F'])]","[(3, ['FragmentTest', 'util.F', 'startFragment'])]","[(3, ['util.F', 'startFragment', 'FragmentTest'])]","[(3, ['FragmentTest', 'startFragment', 'util.F'])]","[(3, ['util.F', 'FragmentTest', 'startFragment'])]"
12903280,colabug,colabug,"@Somatik - Thanks for the heads up, I edited my answer above to include this information. Note: It's only for the support version.",,,,,,,,,,
14854568,NikiC,Baba,=+Nice .. this this not resolve why it acts differently with functions http://3v4l.org/1aUpd,,,,,,,,,,
14854568,NikiC,NikiC,@Baba It does. Passing it to a function is the same as doing `$foo = $array` before the loop,"['foo =', '$foo = $array', '$array', '$foo']",,,,"[(10, ['$array'])]","[(10, ['$array'])]",,,,
14854568,NikiC,Arnaud Le Blanc,"foreach seems to save the position of the array in a `HashPointer` struct after an iteration and restores it before an iteration. The struct carries a `HashPosition` and the `h` of the bucket pointed to by the `HashPosition`. The hash is used to verify that the bucket is still in the table, so a `HashPointer` is safe to use even after array modification. That's probably why we can see the modified array position (`each()` returning null after foreach), and also why attempting to modify it doesn't affect foreach.","['HashPointer', 'h', 'each()` returning null after foreach)', 'each()', 'HashPosition']",5,1,5,"[(8, ['each()'])]","[(8, ['each()'])]",,,,
14854568,NikiC,NikiC,"@arnaud576875 Good point, I forgot to mention that. Though I don't see how it is related to ""see the modified array position (each() returning null after foreach)"". That's just an effect of it using the IAP. Afaik it's just there to prevent next/prev calls in the foreach body from changing the position (in the ref case).","['(each() returning null after foreach)"". That\'s just an effect of it using the IAP. Afaik it\'s just there to prevent next/prev calls in the foreach body from changing the position (in the ref case)', 'each() returning null after foreach)"". That\'s just an effect of it using the IAP. Afaik it\'s just there to prevent next/prev calls in the foreach body from changing the position (in the ref case)']",,,,,,,,,
14854568,NikiC,shu zOMG chen,"For those of you who don't know what a zval is, please refer to Sara Goleman's http://blog.golemon.com/2007/01/youre-being-lied-to.html",,,,,,,,,,
14854568,NikiC,NikiC,@arnaud576875 I added some explanation (and even more weirdness!) regarding HashPointer at the end (starting with the last heading),['HashPointer'],,,,,,,,,
14854568,NikiC,Brian Gordon,@shuzOMGchen I don't understand the opening example. Why would anyone ever expect $b to be set to 'baz' by the end of the code? That makes no sense whatsoever to me. :X,"[""'baz'""]",,,,,,,,,
14854568,NikiC,unbeli,"Minor correction: what you call Bucket isn't what is normally called Bucket in a hashtable. Normally Bucket is a set of entries with the same hash%size. You seem to use it for what is normally called an entry. Linked list isn't on buckets, but on entries.",,,,,,,,,,
14854568,NikiC,NikiC,@unbeli I'm using the terminology used internally by PHP. The `Bucket`s are part of a doubly linked list for hash collisions and also part of a doubly linked list for order,['Bucket'],,,,,,,,,
14854568,NikiC,shu zOMG chen,"@BrianGordon $b would be set to 'baz' at the end of the code if it were actually a php reference (i.e., $a = 'bar'; $b = &$a; $a = 'baz';) or see http://ideone.com/8fFimo","['b =', '$a;', ""'baz'"", 'a =', ""'bar'""]",,,,"[(8, ['$a;', 'a =', 'b ='])]","[(8, ['b =', '$a;', 'a ='])]",,,,
